English,Överge,Syriac,Arabic
Lying,,"ܕܲܓܵܠܘ݂ܬ݂ܵܐ ,  ܙܸܐܦܵܢܘ݂ܬ݂ܵܐ ,  ܫܘ݂ܩܪܵܐ     -    ܪܝ݂ܚܘ݂ܬ݂ܵܐ ، ܫܛܝ݂ܚܘ݂ܬ݂ܵܐ","كِذْبٌٌ     -     إستََلقاء  ,  إضظجاع"
Lynx,,ܫܘܿܕܵܐ  ،  ܘܲܫܩܵܐ ,"وَشَق  ,  الوَشَق (إسم حيوان)  ,  سَنوَر بري"
Lyre,,"ܩܝ݂ܬ݂ܵܪܵܐ   ,   ܟ݀ܢܵܪܵܐ",قيثارة
Lyric ,,ܡܸܠܹ̈ܐ  ،  ܚܵܫ̈ܚܵܬ݂ܵܐ ܕ(ܙܡܝ݂ܪܬܵܐ ، ܥܘܿܢܝ݂ܬ݂ܵܐ)   ,كلمات الأغنية  
Mace,,ܚܘ݂ܛܪܵܐ ،  ܬܲܘܩܕ݂ܵܐ  ،   ܫܲܒܿܘ݂ܩܬܵܐ  ،   ܬܲܩܕܵܐ ،  ܦܸܬ݂ܚܵܐ ,"صولجان  ,  عصا "
Machete ,,ܡܲܓܠܵܐ  ،  ܡܲܓܿܠܬܵܐ  ،  ܡܲܓܙܵܐ ,"مِنجّل  ,  المنجّل "
Machinate ,,ܟܵܡܸܢ ، ܟܲܡܘܿܢܹܐ  ،  ܟܘ݂ܡܵܢܵܐ ،  ܛܵܟܹܢ   ,"يكيد  ,  ينصب مكيدة  ,  يَكمن  ,  يرصد "
Machination,,"ܟܡܹܐܢܵܐ ،   ܠܘ݂ܚܸܫܬܵܐ   ,   ܩܸܛܪܵܐ ،  ܛܸܟ݂ܢܵܐ ،  ܛܘ݂ܟ݂ܵܢܵܐ  ","مؤامرة  ,  مَكيَدة  ,  دسيسة  ,  كمين "
Machinator,,ܟܵܡܘܿܢܵܐ  ،  ܟܲܡܵܢܵܐ ,"كائد , الكائد , ناصب الكمين  ,  الحيّال "
Machine,,"ܬܘ݂ܩܵܢܵܐ ,   ܡܵܐܢܵܐ ,  ܐܲܣܵܢܵܐ    -    ܡܲܪܟܲܒ݂ܬ݂ܵܐ ،  ܪܲܕܵܝܬܵܐ ","آلة  ,  أداة  ,  ماكنة     -     سيارة  ,  عربة"
Macro,,ܓܪܘܿܣܵܐ ،  ܪܵܒܵܐ ، ܟܒܿܝ݂ܪܵܐ ,"ضَخم  ,  كبير"
Mad,,"ܕܵܝܘܵܢܵܐ   ,   ܫܹܐܕܵܢܵܐ   ,   ܒܵܕ݂ܘܿܠܵܐ","مَجنون  ,  أخبَل  ,  أبلة"
Madam,,ܡܵܪܬܵܐ,"سيدة  ,  خاتون"
Made,,ܨܢܝ݂ܥܵܐ ، ܚܠܝ݂ܩܵܐ,"صَنَعْ , صَنْعي , مصنوع"
Madhouse ,,ܒܸܝܬ݂ ܟܪ̈ܝ݂ܗܹܐ ، ܒܹܝܬ݂ ܚܘ݂ܠܡܵܢܵܐ ( ܕܫܹܐܕ݂ܵܢܹ̈ܐ ، ܕܲܝܘܵܢܹ̈ܐ ) ,مستشفى المجانين 
Madly ,,ܕܲܝܘܵܢܵܐ ،  ܫܹܐܕ݂ܵܢܵܐ ،  ܫܵܢܝܵܐ ،  ,"مجنون  ,  المجنون  ,  مُخبِل  ,  المُخبِل"
Madness,,"ܕܲܝܘܵܢܘ݂ܬ݂ܵܐ , ܫܹܐܕܵܢܘ݂ܬ݂ܵܐ , ܕܲܝܘܵܐ",جنون
Magazine ,,ܡܓܲܠܬ݂ܵܐ  ،  ܓܸܠܝܘ݂ܢܵܐ ,"مَجلّة  ,  المَجلّة "
Magi ,,ܡܓ݂ܲܘ݂ܫܹ̈ܐ  ،  ܚܲܪܵ̈ܫܹܐ  ،  ܟܲܠܕ݂ܵܝܹ̈ܐ  ,"مجوس  ,  المجوس  ,    سَحرَة "
Magic,,"ܚܲܪܵܫܘ݂ܬ݂ܵܐ   ,   ܚܸܪܫܵܐ  ،  ܟܲܠܕ݂ܵܝܘ݂ܬ݂ܵܐ ","سِحرٌ  ,  السِّحْر"
Magician,,ܚܲܪܵܫܵܐ  ،  ܚܵܪܫܵܐ ،  ܟܲܠܕ݂ܵܝܵܐ ،  ܡܓ݂ܘ݂ܫܵܐ ،  ܢܵܚܫܵܐ ," ساحر  ,  الساحر  ,  المشعوذ "
Magnet ,,ܡܲܓ݂ܢܵܛܝ݂ܣܵܐ  ،  ܡܲܓ݂ܢܵܛܝ݂ܣ ,"مغناطيس   ,  مغنطيس "
Magnetize ,,ܦܵܬܹܢ ،  ܢܵܬܹܦ ،  ܓܵܪܹܫ ،  ܢܵܓܹܕ݂ ،  ܦܬܵܢܵܐ ،  ܢܬܵܦܵܐ ،  ܓܪܰܫܵܐ ،  ܢܓܵܕ݂ܵܐ  ,"يَفتِن  ,  يَجذب  ,  يَسحِر "
Magnific ,,ܡܫܲܒܚܵܐ ،  ܓܲܐܝܵܐ ،  ܙܲܗܝܵܐ ،  ܝܲܩܝ݂ܪܵܐ ،  ܦܲܐܝܵܐ ،  ܗܕܝ݂ܪܵܐ,"بهي  ,  فخيم  ,  جليل "
Magnify ,,ܝܵܒܹܒ݂ ، ܫܵܒܹܚ ،  ܡܫܵܒܹܚ ،  ܝܘ݂ܒܵܒ݂ܵܐ ،  ܡܫܲܒܘܿܚܹܐ ،  ܪܲܡܪܸܡ ،  ܪܲܡܪܘܿܡܹܐ ,"يُمجِّد  ,  يُسبِّح  ,  يُعظِّم  ,  يُبَجِّل "
Mail,,"ܒܝ݂ܠܕܵܪܵܐ   ,   ܦܲܝܓܵܐ ، ܒܘ݂ܪܕܵܪܵܐ",بريد
Mailman ,,ܡܝ݂ܲܒܠܵܢܵܐ  ،  ܦܲܝܓ݂ܵܐ  ،  ܪܲܗܛܵܢܵܐ  ،  ܐܸܣܦܘܿܢܵܐ ,"رجل البريد  ,  ساعي البريد"
Main,,"ܡܵܪܵܢܵܝܵܐ   ,   ܪܸܫܵܝܵܐ , ܐܲܣܵܝܵܐ","رئيسي  ,  أساسي"
Mainly,,ܣܘܿܓ݂ܐܲܬ݂ ،  ܣܘܿܓ݂ܐܵܐ ،  ܐܲܝܟ݂ ܕܲܒ݂ܣܘܿܓ݂ܐܵܐ,"غالباً  ,  على الأغلب  ,  في الأكثر "
Maintain ,,ܚܵܡܹܐ ،  ܢܵܛܹܪ ،  ܨܵܡܹܐ ،  ܢܛܵܪܵܐ ،  ܨܡܵܝܵܐ ،  ܢܛܵܪܵܐ ،  ܚܡܵܝܵܐ ,"يصون  ,  يُحافظ "
Maintenance,,"ܢܛܝ݂ܪܘ݂ܬ݂ܵܐ   ,  ܡܚܲܡܲܝܬܵܐ  ،  ܡܲܛܪܘ݂ܬ݂ܵܐ ","صيانة  ,  إدامة  ,  محافظة على"
Majesty,,ܓܲܐܝܘ݂ܬ݂ܵܐ ، ܪܲܒܘ݂ܬ݂ܵܐ ، ܫܒ݂ܝ݂ܚܘ݂ܬ݂ܵܐ ، ܪܵܡܘ݂ܬ݂ܵܐ   -   ܫܘ݂ܠܛܵܢܵܐ ، ܡܲܠܟܵܐ ، ܫܲܠܝ݂ܛܵܐ,"جلالة , عَظَمَة ,  فخامة   -    سلطان  ,  ملكْ  "
Majority,,ܣܲܓܝ݂ܐܘ݂ܬ݂ܵܐ   ،   ܝܲܬܝ݂ܪܘ݂ܬ݂ܵܐ,"الأكثرية  ,  الأغلبية "
Make ,,ܐܵܡܹܢ ، ܚܵܠܸܩ ،  ܦܵܥܹܠ ، ܥܵܒܹܕ݂ ، ܬܵܪܹܨ، ܚܠܵܩܵܐ ، ܐܲܡܘܿܢܹܐ ، ܚܠܵܩܵܐ، ܥܒ݂ܵܕ݂ܵܐ ، ܬܪܵܨܵܐ,"يصنع  ,  يخلق  "
Maker,,"ܦܲܥܠܵܐ   ,   ܦܵܠܚܵܐ   ,   ܐܘ݂ܡܵܢܵܐ","عامِلْ  ,  صانع  ,  خالق"
Malady,,"ܟܸܐܒ݂ܵܐ   ,   ܡܲܪܥܵܐ   ,   ܟܘ݂ܪܗܵܢܵܐ","مَرَضْ  , داء  ,  عِلَة "
Malaria ,,ܡܲܠܵܪܝܵܐ  ،  ܡܵܠܵܐܪܝܵܐ ,"ملاريا  ,  الملاريا (مرض) "
Male,,ܕ݀ܟ݂ܪܵܐ,ذكَرٌ
Malediction,,"ܠܲܘܛܬ݂ܵܐ   ,   ܨܘܿܚܝܵܐ","لَعْنَة  ,  بَهْلة "
Malefactor,,"ܡܲܣܪܚܵܢܵܐ  ,  ܡܚܝ݂ܒ݂ܵܢܵܐ      -    ܒܝ݂ܫܵܐ  ،  ܪܲܫܝ݂ܥܵܐ ",مُجرِم    -     شرير 
Malefic ,,ܡܟܲܟ݂ܝܵܢܵܐ  ،  ܡܲܡܪܥܵܢܵܐ     -     ܐܲܒ݂ܕܵܢܵܝܵܐ  ،  ܡܲܘܒܕ݂ܵܢܵܐ ,مؤذٍ      -      مُهلك
Malevolence ,,ܐܲܟܿܬ݂ܵܐ  ، ܐܲܟܿܬ݂ܵܢܘ݂ܬ݂ܵܐ  ،  ܪܘ݂ܓ݂ܙܵܐ  ،  ܠܵܘܡܵܐ  ،  ܣܢܹܐܬ݂ܵܐ ,"حِقْدٌ  ,  ضَغينة   ,  غِل "
Malice,,ܬܲܥܠܘ݂ܬ݂ܵܐ ،  ܨܢܵܥܬ݂ܵܐ ،  ܢܸܟ݂ܠܵܐ  ،  ܡܠܲܬܿܡܘ݂ܬ݂ܵܐ ،  ܕܘ݂ܪܵܡܵܐ ,"مَكْر  ,  خُبْث "
Malicious,,"ܐܲܟܿܬ݂ܵܢܵܐ   ,   ܪܓ݂ܝ݂ܙܵܐ   ,   ܣܵܢܝܵܐ","حقود  ,  حاقد  ,  ضاغِن"
Mallet,,"ܡܲܛܪܩܵܐ ،  ܐܵܪܘܿܫܵܐ ,   ܕܵܩܘܿܩܵܐ ,   ܐܵܪܙܵܦܬ݂ܵܐ ،  ܚܲܚܬܘ݂ܪܵܐ ",مَطْرَقة
Mallow ,,ܚܘ݂ܒܵܙܹ̈ܐ ,"خُباز  ,  الخُباز  ,  خُبازة  (اسم نبت)"
Mammalogy ,,ܝܘ݂ܠܦܵܢ ، ܡܡܲܠܠܘ݂ܬ݂ (ܬ̈ܕܲܝܵܢܵܝܵܬ݂ܵܐ ، ܚܲܕܝܵܢܵܝܹ̈ܐ ، ܬܕܲܝ̈ܵܐ) ,علم الثديات 
Man,,"ܓܲܒ݂ܪܵܐ   ,   ܐ݉ܢܵܫܵܐ","إنسان ,  رَجُلْ"
Manage,,ܬܲܓܒܸܪ ،  ܕܵܒܹܪ ،  ܣܵܝܹܣ ،  ܦܲܪܢܸܣ ، ܬܲܓܒܘܿܪܹܐ ،  ܣܝܵܣܵܐ ،  ܦܘ݂ܪܢܵܣܵܐ ,"يدير  ,  يدبّر   "
Management,,"ܡܕܲܒܪܵܢܘ݂ܬ݂ܵܐ ,  ܦܘ݂ܪܢܵܣܵܐ ،  ܬܲܓܒܲܪܬܵܐ ،  ܪܵܥܝܘ݂ܬ݂ܵܐ ،  ܣܘ݂ܝܵܣܵܐ ، ܪܘ݂ܥܵܝܵܐ","تَدبير  ,  إدارة "
Manager,,ܡܕܲܒܿܪܵܢܵܐ   ،   ܦܲܪܢܵܣܵܐ  ،  ܡܫܲܒܠܵܢܵܐ ,"مُدَبّر  ,  مدير"
Mandator ,,ܡܓܲܥܠܵܐ  ،  ܡܸܬܿܬܲܟܠܵܐ  ,"مفوِّض  ,  مُنتَدِب  ,  المفوِض  ,  المُنتدِب "
Mandatory ,,ܐܲܠܝ݂ܨܵܝܵܐ  ،  ܥܪܝ݂ܨܸܐܝ݂ܬ݂  ،  ܕܠܵܐ ܒܨܸܒ݂ܝܵܢܵܐ ,"إلزامي  ,  إجباري "
Manful,,ܟܙܝ݂ܪܵܐ ، ܡܲܪܵܚܵܐ ، ܠܸܒܵܢܵܐ ، ܠܒ݂ܝ݂ܒ݂ܵܐ,"شجاع  ,  ثابت العزم"
Mangy,,"ܓܲܪܒ݂ܵܢܵܐ   ,   ܓܪܝ݂ܒ݂ܵܐ   ,   ܒܲܪܨܵܐ","أجربْ  ,  أبرَصْ"
Manhood,,ܓܲܒ݂ܪܘ݂ܬ݂ܵܐ  ،  ܠܒ݂ܝ݂ܒ݂ܘ݂ܬ݂ܵܐ,"رجولة  ,  نَخْوة  ,  شَكيمة"
Manifest ,,ܒܵܝܹܢ ،  ܡܚܵܘܹܐ ،  ܡܵܓܠܹܐ ،  ܡܓܲܠܘܿܝܹܐ ،  ܓܵܠܹܚ ،  ܒܲܝܘܿܢܹܐ ,"يَظهر  ,  يجلو "
Manner ,,ܐܵܕ݂ܫܵܐ ،  ܡܢܵܬ݂ܵܐ ،  ܙܢܵܐ  ،  ܓܸܢܣܵܐ     -    ܕܘ݂ܒܵܪܵܐ ܛܵܒ݂ܵܐ ,"ضَرْب ,  نوع  ,  صِنْف      -     سلوك حَسِن"
Mannerly ,,ܢܲܟ݂ܿܝ݂ܚܵܐ ،  ܪܡܝ݂ܣܵܐ ،  ܒܲܣܝ݂ܡ ܙܢܲܝ̈ܵܐ ،  ܡܚܲܟܡܵܢܵܐ ،  ܟܢܝ݂ܟ݂ܵܐ ,"دَمْث  ,  مُهذّب "
Mansion,,ܩܲܨܪܵܐ  ،  ܐܵܦܲܕ݂ܢܵܐ  ،  ܒܝ݂ܪܬܵܐ,"قَصْر,  القصْر  "
Manslayer ,,ܩܵܛܘܿܠܵܐ  ،  ܣܲܝܵܦܵܐ ,"قاتِلْ  ,  سفّاح  ,  القاتل  ,  السفّاح"
Mantle,,"ܥܒ݂ܵܝܬܵܐ   ,   ܡܲܥܦܪܵܐ","عباءة  ,  جُبَّة"
Manufactory,,ܡܲܨܢܵܥܵܐ,"مَعمَل  ,  مَصنَع"
Manumit ,,ܥܵܬܹܩ ،  ܒܵܠܹܐ ،  ܚܵܪܹܪ ،  ܥܲܬܩܸܢ ،  ܒܠܵܝܵܐ ،  ܥܬܵܩܵܐ ،  ܡܚܵܪܹܪ ,"يُعتِق  ,  يُحرر , (من العبودية) "
Manure,,ܙܸܒ݂ܠܵܐ  ،  ܣܡܝ݂ܕ݂ܵܐ     -     ܣܵܒܠܹܢ  ،  ܙܵܒܹܠ  ،  ܙܒܵܠܵܐ  ،  ܣܲܒܠܘܿܢܹܐ ,"سَماد  ,  زِبل      -     يُسَمّد  "
Many,,"ܣܲܓܝ݂ܐܵܐ   ,   ܪܵܒܵܐ   ,   ܦܲܪܝܵܐ   ,   ܣܲܓܝ݂","كثير  ,  عديد  ,  متعدد "
Map,,"ܨܘ݂ܪܲܬ݂ ܥܵܠܡܵܐ   ,   ܨܘ݂ܪܲܬ݂ ܐܲܪܥܵܐ  ،  ܟܘ݂ܣܬܵܐ ܕܐܲܪܥܵܐ ",خارطة 
Marble,,ܨܘ݂ܢܵܡܵܐ  ،  ܫܝ݂ܫܵܐ   ،   ܡܲܪܡܲܪ  ،  ܫܝ݂ܫܬܵܐ ,"رخام  ,  مَرمَر"
Mare ,,ܣܘ݂ܣܬܵܐ ,"فَرَس  ,  الفرس (أنثى الحصان أو الخيل) "
Mariner ,,ܡܲܠܵܚܵܐ  ،  ܣܲܦܵܢܵܐ  ،  ܐܸܠܦܲܪܵܐ ،  ܝܲܡܵܝܵܐ ،  ܐܸܠܦܵܝܵܐ ,"بحّار  ,  ملّاح  ,  البحّار  ,  الملّاح "
March,,ܐܵܕ݂ܲܪ,آذار  (اسم شهر)
Mark,,"ܪܸܡܙܵܐ   ,   ܢܝ݂ܫܲܢܩܵܐ  ،  ܝܲܕܥܵܐ  ،  ܐܵܬ݂ܵܐ ","علامة  ,  رَمز  ,   إشارة "
Market,,ܫܘ݂ܩܵܐ,سوق 
Marriage,,"ܙܘ݂ܘܵܓ݂ܵܐ   ,   ܓܒ݂ܵܪܵܐ   ,   ܒܥܝ݂ܠܘ݂ܬ݂ܵܐ",زَواج
Married ,,ܓܒ݂ܝ݂ܪܵܐ  ،  ܒܥܝ݂ܠܵܐ ,مُتزوِّج 
Marry,,ܓܵܒܹܪ ،ܓܒ،ܵܪܵܐ ، ܫܲܘܬܸܦ ، ܚܵܬܹܢ ، ܒܵܥܹܠ  -   ܡܙܵܘܹܓ ، ܡܚܵܬܹܢ ، ܒܵܪܹܟ݂ ,يتزوج    -    يزوّج 
Mars,,ܬܲܡܘ݂ܙܵܐ ،  ܐܵܪܝ݂ܣ   ،  ܦܘ݂ܫܵܫܵܐ   ،   ܢܵܪܝ݂ܓ݂ ،  ܢܲܐܪܝ݂ܓ݂ ,مريخ ( اسم كوكب)
Marsh,,ܐܵܡܝ݂ܫܵܐ   ،   ܐܲܡܫܵܐ  ،  ܡܵܠܲܚܬ݂ܵܐ ,"مُستَنقَعْ   ,  سَبخة  (أرض دات ملوحة)"
Mart ,,ܫܘ݂ܩܵܵܐ ,سوق 
Martyr,,ܣܵܗܕܵܐ,"شهيد   ,  الشهيد "
Martyrdom,,ܣܵܗܕܘ݂ܬ݂ܵܐ,"إستشهادْ ,  الاستشهاد , (الموت في سبيل المبدأ) "
Marvel ,,ܕܘ݂ܡܵܪܵܐ  ،  ܬܸܕܡܘ݂ܪܬܵܐ ،  ܬܡܝ݂ܗܘ݂ܬ݂ܵܐ ,"إعجوبة  ,  مُعجزة "
Masculine,,ܕܸܟ݂ܪܵܢܵܝܵܐ,مُذَكّر
Mask,,"ܩܢܵܥܵܐ   ,   ܩܘ݂ܢܵܥܵܐ",قِناع
Masked ,,ܡܫܲܓ݂ܢܝܵܐ  ،  ܡܛܘ݂ܫܝܵܐ  ،  ܡܠܲܘܿܬ݂ܡܵܐ   ,"متنكِّر  ,  متلثِّم   ,  مُتقنِّع "
Masker ,,ܡܠܲܬܿܡܵܐ ,"مُقَنَّع  , المُقَنَّع   "
Mason,,"ܒܲܢܵܝܵܐ   ,   ܡܲܥܡܪܵܢܵܐ",بَنّاء  ،  البَنّاء
Massacre ,,ܣܘ݂ܪܚܵܢܵܐ  ،  ܡܲܕ݂ܒܿܚܵܐ ،   ܛܒ݂ܵܚܵܐ  ،  ܣܝܵܦܵܐ  ,"مَذبَحَة  ,  مّجزرة   ,  مَقصَبة  ,  قّتِل وحشي "
Massage ,,ܕܵܠܹܟ ،  ܕܵܥܹܟܿ ،  ܕܠܵܟܵܐ ، ܕܥܵܟܵܐ ، ܫܵܦܹܦ     -     ܕܠܵܟܬܵܐ ، ܫܦܵܦܬܵܐ ، ܕܥܵܟܬܵܐ ,يُدلك       -      تدليك 
Massive,,ܓܵܫܘܿܡܵܐ  ،   ܚܠܝ݂ܡܵܐ  ،   ܓܘ݂ܫܡܵܢܵܝܵܐ ،  ܓܪܘܿܣܵܐ ,"جسيم  ,  غليظ  ,  ضخم "
Massy ,,ܪܲܒܵܐ  ،  ܟܲܒܿܝ݂ܪܵܐ  ،  ܪܲܘܪܒ݂ܵܐ ,"كبير   ,   ضخم "
Master,,"ܡܵܪܵܐ   ,   ܪܲܒܵܐ      -      ܡܲܠܦܵܢܵܐ ،  ܪܲܒܵܢܵܐ ،  ܡܕܲܪܫܵܢܵܐ ،  ܡܲܩܪܝܵܢܵܐ ","سيد  ,  رَبّان      -     مُدرّس ,  مُعلّم "
Mastery ,,ܡܵܪܘ݂݂ܬ݂ܵܐ  ،  ܫܵܠܛܵܢܬܵܐ      -      ܝܲܬܝ݂ܪܘ݂ܬ݂ܵܐ ،  ܢܲܨܝ݂ܚܘ݂ܬ݂ܵܐ ،  ܡܝܲܬܪܘ݂ܬ݂ܵܐ ,"سيادة  ,  سيطرة        -      تَفَوّقْ   "
Mat,,ܨܸܐܦܵܐ   ،   ܚܘ݂ܨܵܐ   ،   ܦܪܝ݂ܣܬܵܐ   ،   ܡܲܪܫܵܐ,"حصيرة  ,  سجادة "
Match ,,ܬܲܟ݂ܬܘ݂ܫܵܐ ،  ܡܘ݂ܪܵܝܵܐ      -     ܕܲܡܝܵܝܵܐ ،  ܦܸܚܡܵܐ ،  ܣܸܒ݂ܗܵܐ ,"مباراة     -    مثيل  ,  نظير  "
Matchable ,,ܙܵܪܹܒ  ،  ܡܵܪܹܐ  ،  ܙܪܵܒܵܐ  ،  ܡܵܪܹܐ ܥܲܡ ,"يُباري  ,  يُجاري  ,  يُضارع "
Mate ,,ܠܸܘܝܵܐ  ،  ܟܢܵܬ݂ܵܐ  ،  ܚܲܒ݂ܪܵܐ ,"رفيق  ,  زميل  "
Material,,"ܐܲܣܵܢܵܐ   ,   ܡ݀ܢܕܝ݂   ,   ܡܵܢܵܐ","مادّة   ,   المادّة "
Maternity ,,ܐܸܡܵܗܵܝܘ݂ܬ݂ܵܐ ,"أمومة   ,  الأمومة "
Mathematics,,ܝܘ݂ܠܦܲܢ ܡܲܢܵܝܘ݂ܬ݂ܵܐ ، ܡܲܢܵܝܘ݂ܬ݂ܵܐ,"علم الرياضيات  ,   رياضيات"
Matrimony ,,ܥܘ݂ܣܵܩܵܐ  ،  ܣܸܢܝ݂ܬ݂ܵܐ ,"عَوْسَج  ,  العَوسَج  (اسم نبت)"
Matter ,,ܨܒ݂ܘ݂ܬ݂ܵܐ  ،  ܡܠܘ݂ܐܵܐ  ,"مسألة  ,  أمر  ,  موضوع (قضية أو شأن) "
Mattock,,"ܦܸܠܩܵܐ   ,   ܐܸܫܦܵܐ   ,   ܦܵܣܘܿܠܵܐ","مِعْوَل  ,  المِعْول "
Mattress,,"ܬܸܫܘܝ݂ܬ݂ܵܐ   ,   ܥܲܪܣܵܐ",فِراش
Mature,,"ܡܲܛܝܵܐ   ,   ܫܲܠܡܵܐ","بالغ الرشد  ,  ناضج (جسما وعقلا)"
Maturity ,,ܡܲܕ݂ܪܟ݂ܵܢܘ݂ܬ݂ܵܐ  ،  ܫܲܠܡܘ݂ܬ݂ܵܐ  ،  ܓܡܝ݂ܪܘ݂ܬ݂ܵܐ ,"نُضْج  ,  بُلوغ  ,  رُشْد  "
Maul ,,ܡܲܪܫܵܐ ،  ܕܵܩܘܿܩܵܐ ،  ܐܵܪܘܿܫܵܐ ،  ܐܲܪܙܵܦܬ݂ܵܐ ,"مِدَقّة  ,  المِدقّة  ,  مِطرَقَة  "
Maxim,,ܚܸܟ݂ܡܬ݂ܵܐ,حِكمة
Maximum ,,ܬܚܘ݂ܡܵܐ ܕܪܵܡ ,"الحد الأعلى  ,  الحد الأقصى "
May,,ܐܝ݂ܵܪ,آيار ( إسم شهر)
Maybe ,,ܒܲܙܒܲܢ ،  ܛܵܟ ،  ܕܲܠܡܵܐ  ،  ܩܵܘܡܵܐ ،  ܟܒܲܪ ،  ܪܲܒܲܬ݂ ,رُبّما 
Mayor ,,ܗܹܘܦܲܪܟܵܐ ،  ܐܹܘܦܲܪܟܵܐ        -        ܪܹܫ ، ܪܲܒ (ܟܲܪܟ݂ܘ݂ܬ݂ܵܐ) ,"مُحافِظ  ,  المُحافظ      -        رئيس بلدية "
Maze,,ܥܣܵܣܵܐ ،  ܦܩܵܛܵܐ ،  ܥܘ݂ܪܙܵܠܵܐ     -      ܒܘ݂ܠܗܵܝܵܐ ،  ܬܘܝ݂ܗܘ݂ܬ݂ܵܐ   -   ܒܗܵܬܬ݂ܵܐ ,"إرتباك ,  ورطة     -      حيرة     -     ذهول "
Mazy ,,ܬܗܝ݂ܪܵܐ  ،  ܬܲܗܝ݂ܪܵܐ      -     ܬܡܝ݂ܗܵܐ ,"مُحَيِّر  ,  المُحير     -    مُذهِل  ,  المُذهِل "
Me ,,ܐܵܢܵܐ  ،  ܐܸܢܵܐ ,أنا 
Meadow,,ܡܲܪܓܵܐ," مرْج , المَرْج   ,   أرض خَضِرة "
Meagre,,"ܡܚܝ݂ܠܵܐ   ,   ܢܘܝ݂ܠܵܐ","هزيل  ,  هَشْ  ,  ضعيف  ,  نحيل "
Meal ,,ܫܵܪܘ݂ܬ݂ܵܐ  ،  ܛܥܘܿܡܵܐ ,"وَجْبَة  ,  الوجبة  (وجبة طعام)"
Mean,,ܫܝ݂ܛܵܐ ،  ܟܘ݂ܦܵܐ ،  ܦܲܦܘ݂ܟܵܐ ،  ܦܲܦܘ݂ܟܹܐ    -       ܥܵܢܹܐ ، ܥܢܵܝܵܐ ، ܩܵܙܹܕ ، ܩܙܵܕܵܐ,"حقير, دنيء , وضيع , ذليل , منحط    -   يقَصْدَ  ,  يعني "
Meaning ,,ܣܘ݂ܟܵܠܵܐ  ،  ܪܸܥܝܵܢܵܐ  ،  ܚܘ݂ܫܵܒ݂ܵܐ ,"معنى  ,  مدلول  ,   مغزى ,   قَصْد "
Meanness ,,ܫܝ݂݂ܛܘ݂ܬ݂ܵܐ  ،  ܟܘ݂ܦܘ݂ܬ݂ܵܐ ,"حقارة  ,  دناءة  "
Measles,,ܙܵܐܛܸܐ  ،  ܙܵܛܹܐ  ،  ܙܵܛܝ݂  ،  ܫܘ݂ܟܿܬ݂ܵܐ ,"حَصْبة   , الحَصْبَة  (مَرَض)"
Measly ,,ܙܵܐܛܵܢܵܝܵܐ ,مصاب بالحصبة 
Measure,,ܟܲܝܠܵܐ ،  ܡܫܘ݂ܚܬܵܐ  ، ܘܲܙܢܵܐ  ، ܡܲܥܝܵܪܵܐ ,"مقياس  ,  مكيال  "
Meat,,ܒܸܣܪܵܐ,"لَحَم  ,  اللّحم "
Mechan ,,ܬܘ݂ܩܵܢܵܐ  ،   ܡܲܟܝ݂ܢܵܐ ,"ماكنة  ,  الماكنة "
Mechanical,,"ܐܲܣܵܢܵܝܵܐ   ,   ܡܵܢܵܝܵܐ   ,   ܬܘ݂ܩܵܢܵܝܵܐ"," آلي  ,  ميكانيكي"
Mechanism ,,ܬܸܩܢܵܐ  ،  ܬܸܩܢܵܝܘ݂ܬ݂ܵܐ ,"تِقْنية  ,  التِقنية "
Medal ,,ܝܘ݂ܩܢܵܐ   ،  ܫܸܒܵܐ  ،  ܢܝ݂ܫܵܐ   ,"ميدالية  ,  وسام  ,  نَوْط "
Meddle ,,ܛܵܦܹܠ ، ܡܛܵܦܹܠ ،  ܡܛܲܦܘܿܠܹܐ  ،  ܛܦܵܠܵܐ ،  ܛܲܦܠܘܿܢܹܐ ،  ܬܲܟܹܿܠ ،  ܬܟܵܠܵܐ ,يَتَطَفَّل  
Meddler ,,ܚܲܣܘ݂ܡܬ݂ܵܢܵܐ ,"متطفّل   ,  فضولي "
Media ,,ܝܘ݂ܕܵܥܵܐ  ،  ܫܘ݂ܕܵܥܵܐ  ،  ܡܲܘܕܥܵܢܘ݂ܬ݂ܵܐ ،  ܡܸܨܥܹ̈ܐ ܝܘ݂ܕܵܥܵܝܹ̈ܐ  ,"إعلام  ,  الإعلام  ,  وسائل الإعلام "
Medial ,,ܡܸܨܥܵܐ  ،  ܦܲܠܓܵܐ  ،  ܒܹܝܬ݂ ܦܲܠܓܵܐ ,"متوسّط  ,  المتوسط   ,   محتل موقع وسطاً "
Mediation,,"ܡܸܨܥܵܝܘ݂ܬ݂ܵܐ   ,   ܣܢܹܐܓ݂ܪܘ݂ܬ݂ܵܐ","شفاعة  ,  تَوَسّط (لإيجاد تسوية)"
Mediator,,"ܣܢܹܐܓ݂ܪܵܐ   ,   ܡܸܨܥܵܝܵܐ","وسيط ,  الوسيط ,  الشفيع ,  القائم بالوساطة "
Medical ,,ܐܵܣܝܘ݂ܬ݂ܵܢܵܝܵܐ ,طُبي   
Medicate ,,ܐܵܣܹܐ ،  ܣܲܡܣܸܡ ،  ܕܲܪܡܸܢ ،  ܕܲܪܡܘܿܢܹܐ  ,"يُطَبِّب  ,  يُداوي  ,  يُعالج "
